"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 10:16:28 UTC 2025","Fri Sep 05 10:16:38 UTC 2025","10306","chromium","","","","","tests Verify Create Account Page @smoke",""
"passed","Fri Sep 05 10:16:39 UTC 2025","Fri Sep 05 10:16:48 UTC 2025","8888","chromium","","","","","tests Verify Login Page @smoke",""
