"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 14:50:50 UTC 2025","Thu Sep 04 14:50:59 UTC 2025","9869","chromium","","","","","tests Verify Create Account Page @smoke",""
"passed","Thu Sep 04 14:51:01 UTC 2025","Thu Sep 04 14:51:09 UTC 2025","8182","chromium","","","","","tests Verify Login Page @smoke",""
