"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 08:36:04 UTC 2025","Fri Sep 05 08:36:13 UTC 2025","8519","chromium","","","","","tests Verify Create Account Page @smoke",""
"passed","Fri Sep 05 08:36:14 UTC 2025","Fri Sep 05 08:36:22 UTC 2025","8068","chromium","","","","","tests Verify Login Page @smoke",""
