"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 05 08:21:48 UTC 2025","Fri Sep 05 08:21:56 UTC 2025","7478","chromium","","","","","tests Verify Create Account Page @smoke",""
"passed","Fri Sep 05 08:21:57 UTC 2025","Fri Sep 05 08:22:04 UTC 2025","6139","chromium","","","","","tests Verify Login Page @smoke",""
